"T","U:0","U:1","U:2","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.01152,0.59,0.02152,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.0117,0.59,0.0217,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.01188,0.59,0.02188,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.01206,0.59,0.02206,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.01224,0.59,0.02224,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.01242,0.59,0.02242,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.0126,0.59,0.0226,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.01278,0.59,0.02278,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.01296,0.59,0.02296,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.01314,0.59,0.02314,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.01332,0.59,0.02332,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.0135,0.59,0.0235,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.01368,0.59,0.02368,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.01386,0.59,0.02386,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.01404,0.59,0.02404,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.01422,0.59,0.02422,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.0144,0.59,0.0244,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.01458,0.59,0.02458,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.01476,0.59,0.02476,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.01494,0.59,0.02494,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.01512,0.59,0.02512,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.0153,0.59,0.0253,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.01548,0.59,0.02548,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.01566,0.59,0.02566,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.01584,0.59,0.02584,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.01602,0.59,0.02602,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.0162,0.59,0.0262,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.01638,0.59,0.02638,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.01656,0.59,0.02656,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.01674,0.59,0.02674,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.01692,0.59,0.02692,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.0171,0.59,0.0271,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.01728,0.59,0.02728,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.01746,0.59,0.02746,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.01764,0.59,0.02764,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.01782,0.59,0.02782,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.018,0.59,0.028,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.01818,0.59,0.02818,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.01836,0.59,0.02836,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.01854,0.59,0.02854,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.01872,0.59,0.02872,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.0189,0.59,0.0289,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.01908,0.59,0.02908,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.01926,0.59,0.02926,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.01944,0.59,0.02944,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.01962,0.59,0.02962,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.0198,0.59,0.0298,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.01998,0.59,0.02998,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02016,0.59,0.03016,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02034,0.59,0.03034,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02052,0.59,0.03052,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.0207,0.59,0.0307,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02088,0.59,0.03088,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02106,0.59,0.03106,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02124,0.59,0.03124,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02142,0.59,0.03142,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.0216,0.59,0.0316,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02178,0.59,0.03178,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02196,0.59,0.03196,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02214,0.59,0.03214,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02232,0.59,0.03232,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.0225,0.59,0.0325,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02268,0.59,0.03268,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02286,0.59,0.03286,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02304,0.59,0.03304,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02322,0.59,0.03322,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.0234,0.59,0.0334,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02358,0.59,0.03358,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02376,0.59,0.03376,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02394,0.59,0.03394,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02412,0.59,0.03412,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.0243,0.59,0.0343,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02448,0.59,0.03448,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02466,0.59,0.03466,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02484,0.59,0.03484,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02502,0.59,0.03502,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.0252,0.59,0.0352,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02538,0.59,0.03538,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02556,0.59,0.03556,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02574,0.59,0.03574,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02592,0.59,0.03592,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.0261,0.59,0.0361,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02628,0.59,0.03628,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02646,0.59,0.03646,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02664,0.59,0.03664,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02682,0.59,0.03682,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.027,0.59,0.037,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02718,0.59,0.03718,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02736,0.59,0.03736,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02754,0.59,0.03754,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02772,0.59,0.03772,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.0279,0.59,0.0379,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02808,0.59,0.03808,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02826,0.59,0.03826,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02844,0.59,0.03844,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02862,0.59,0.03862,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.0288,0.59,0.0388,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02898,0.59,0.03898,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02916,0.59,0.03916,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02934,0.59,0.03934,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02952,0.59,0.03952,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.0297,0.59,0.0397,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.02988,0.59,0.03988,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.03006,0.59,0.04006,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.03024,0.59,0.04024,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.03042,0.59,0.04042,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.0306,0.59,0.0406,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.03078,0.59,0.04078,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.03096,0.59,0.04096,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.03114,0.59,0.04114,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.03132,0.59,0.04132,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.0315,0.59,0.0415,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.03168,0.59,0.04168,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.03186,0.59,0.04186,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.03204,0.59,0.04204,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.03222,0.59,0.04222,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.0324,0.59,0.0424,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.03258,0.59,0.04258,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.03276,0.59,0.04276,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.03294,0.59,0.04294,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.03312,0.59,0.04312,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.0333,0.59,0.0433,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.03348,0.59,0.04348,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.03366,0.59,0.04366,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.03384,0.59,0.04384,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.03402,0.59,0.04402,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.0342,0.59,0.0442,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.03438,0.59,0.04438,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.03456,0.59,0.04456,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.03474,0.59,0.04474,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.03492,0.59,0.04492,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.0351,0.59,0.0451,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.03528,0.59,0.04528,0
2.8107,0.042004,0.12594,0,11.901,5.9279,1,0.03546,0.59,0.04546,0
