s ur utheta
2.619406360227444219e-02 7.424621202456460622e-05 -5.118187374652279908e-01
4.446287440101006488e-02 -9.091978992496585477e-03 -7.386677852580278980e-01
6.340909349612240675e-02 -2.524866183582802348e-02 -8.923807786727031566e-01
8.305959094529655196e-02 -4.730685787494232075e-02 -9.860278794527059798e-01
1.034412368062176402e-01 -7.365153522160949873e-02 -1.034543182816696216e+00
1.245794869230082841e-01 -1.025361401262987471e-01 -1.052269642714261710e+00
1.465040397804783512e-01 -1.324679701739253090e-01 -1.051145342932175097e+00
1.692417654363130297e-01 -1.623446458926193214e-01 -1.039893859829934764e+00
1.928251908024467276e-01 -1.914717884232556844e-01 -1.024132449677286782e+00
2.172840143636894095e-01 -2.194795809192735536e-01 -1.007038143242101835e+00
2.426521772455380033e-01 -2.462195309566241330e-01 -9.901694038701155387e-01
2.689636205734893815e-01 -2.716718395454338353e-01 -9.741668703050827549e-01
2.962508712594783544e-01 -2.958697407044186822e-01 -9.592249969118298303e-01
3.245535272832510421e-01 -3.188789953642289787e-01 -9.453543902920744646e-01
3.539069439838669617e-01 -3.407993055810119576e-01 -9.325175737864139780e-01
3.843521335546349893e-01 -3.616639053734833076e-01 -9.206601001726967270e-01
4.159272797617390438e-01 -3.813702642583712832e-01 -9.096271130658430959e-01
4.486762232256127914e-01 -4.011749109858440132e-01 -8.993839642335746953e-01
4.826413903531275307e-01 -4.224630677402463341e-01 -8.907869599879086886e-01
4.999343937938257598e-01 -4.288623841099845624e-01 -8.764015796314496010e-01
5.395465156758960656e-01 -4.360706306374002583e-01 -8.914021428875409381e-01
5.859991885591651073e-01 -4.636110255510538791e-01 -8.912522362499294415e-01
6.265517624602136015e-01 -4.848786762088017621e-01 -8.599026571060237600e-01
6.760266097262739304e-01 -5.058931826388847197e-01 -8.628831121887252653e-01
7.175436772768608584e-01 -5.060890512172733224e-01 -8.415489934935458383e-01
7.702358603973200601e-01 -5.225519112968585178e-01 -8.460051804285835253e-01
8.127414632280057782e-01 -5.345904042465594586e-01 -8.242566971596287928e-01
8.688602858100948900e-01 -5.478932041210220483e-01 -8.287729881710673707e-01
9.123756371243151309e-01 -5.526767814957490588e-01 -8.117352502783774515e-01
9.598974554607383469e-01 -5.640357448287297570e-01 -8.161475965929816390e-01
1.016692272125641727e+00 -5.750807527508635664e-01 -8.194709984645582868e-01
1.062300659512174006e+00 -5.825004242058540171e-01 -8.039280843072967864e-01
1.125954411954587009e+00 -5.916355367120030850e-01 -8.070414754648611577e-01
1.172651743784146605e+00 -5.963123409627708593e-01 -7.942244579490737033e-01
1.236857039515885104e+00 -6.040671810320437096e-01 -7.971271312858444480e-01
1.288249560372523250e+00 -6.115971611448992595e-01 -7.992845140752447008e-01
1.337195491766256294e+00 -6.167915675594957126e-01 -7.876002816229182857e-01
1.409405236261026539e+00 -6.230544123204648788e-01 -7.895808877170217288e-01
1.459510822775905048e+00 -6.271393681953796317e-01 -7.796014897141360089e-01
1.534039877512967331e+00 -6.324334766661233731e-01 -7.813940054044439254e-01
1.587709282205026051e+00 -6.375889922077544458e-01 -7.826774042122974784e-01
1.640219031775939085e+00 -6.415395270835655417e-01 -7.735791319694482748e-01
1.722116139172965132e+00 -6.458230385426374509e-01 -7.747262005898891690e-01
1.775884538814390234e+00 -6.492933064926665887e-01 -7.667728756471370311e-01
1.852930893692476877e+00 -6.528856917838067320e-01 -7.677766844337094998e-01
1.918154423189123658e+00 -6.563953455815481064e-01 -7.684248185093452976e-01
1.974510833649691266e+00 -6.595624061438044583e-01 -7.611565386162066904e-01
2.067410522561980102e+00 -6.624556042497075081e-01 -7.616998794668705663e-01
2.125096293771179035e+00 -6.653946935857091294e-01 -7.552252562249358592e-01
2.195114007244270304e+00 -6.677959575039406070e-01 -7.556665615670743463e-01
2.283106375095124374e+00 -6.701426327786643711e-01 -7.558513285689983929e-01
