s ur utheta
2.619406360227444219e-02 1.103228000007250645e-03 2.509592677109175746e-02
4.446287440101006488e-02 3.896865471119061522e-03 3.090495039989548526e-02
6.340909349612240675e-02 8.461451875712582352e-03 2.945813921490968851e-02
8.305959094529655196e-02 1.515936529701029413e-02 2.134120390512681334e-02
1.034412368062176402e-01 2.441293233114367328e-02 7.054450802507593668e-03
1.245794869230082841e-01 3.668024503523661245e-02 -1.301748228825374588e-02
1.465040397804783512e-01 5.244391792958455478e-02 -3.860258553057035330e-02
1.692417654363130297e-01 7.218352497532383449e-02 -6.951925976089790016e-02
1.928251908024467276e-01 9.634624050087685354e-02 -1.056345689043733382e-01
2.172840143636894095e-01 1.253141001579830272e-01 -1.468102877274103102e-01
2.426521772455380033e-01 1.593640493885619125e-01 -1.928387672526455099e-01
2.689636205734893815e-01 1.986211329557985572e-01 -2.433729311876014489e-01
2.962508712594783544e-01 2.430061549001999999e-01 -2.978555793887030512e-01
3.245535272832510421e-01 2.922070689992287140e-01 -3.554659730150271368e-01
3.539069439838669617e-01 3.455676801599435466e-01 -4.150642559353009409e-01
3.843521335546349893e-01 4.025742045951342662e-01 -4.751885555900993707e-01
4.159272797617390438e-01 4.607635065432157395e-01 -5.340070411520806415e-01
4.486762232256127914e-01 5.256563221983020506e-01 -5.897325002317956866e-01
4.826413903531275307e-01 5.804990998830619198e-01 -6.234194915515914870e-01
4.999343937938257598e-01 6.992939583612174381e-01 -7.422846364437970523e-01
5.395465156758960656e-01 6.481366212200018184e-01 -7.353941637038465817e-01
6.181909318794638342e-01 7.591431934781343038e-01 -8.115106731646725136e-01
6.587449199940746958e-01 7.099386024238435455e-01 -7.983625882539335805e-01
7.017836813377752447e-01 7.900579019516101864e-01 -8.444335648967180585e-01
7.803008183207293946e-01 8.420458067180074391e-01 -8.674131210717185292e-01
8.228050069378527454e-01 8.014962733761180624e-01 -8.524547720904638304e-01
8.718258916503913714e-01 8.391729025767247219e-01 -8.630452517736512119e-01
9.477776452312006716e-01 8.617705150238672562e-01 -8.641498586318816510e-01
9.923253724459533132e-01 8.380898341910492100e-01 -8.498447631793586421e-01
1.050053570062023267e+00 8.554394627427847064e-01 -8.492252810704964405e-01
1.120834958858796471e+00 8.654688602661680941e-01 -8.453477125434361028e-01
1.167518148552732393e+00 8.551827193416038364e-01 -8.347600612873736781e-01
1.236857039515885104e+00 8.627572471816739030e-01 -8.327999612899245063e-01
1.299690548092121922e+00 8.668468699613445239e-01 -8.298417093601525574e-01
1.348636479485854300e+00 8.642358074611350416e-01 -8.240099168929946316e-01
1.432640765090816615e+00 8.663887354778138095e-01 -8.233136288455602525e-01
1.484598971372404153e+00 8.668045849758294619e-01 -8.220633933457442977e-01
1.535892497279676361e+00 8.675447136436974516e-01 -8.212101275928864741e-01
1.623262611163085678e+00 8.660596479818495341e-01 -8.212951218279851417e-01
1.675786502869622385e+00 8.683713214709045669e-01 -8.236503530947612006e-01
1.744121302203490931e+00 8.648034727850716363e-01 -8.241635004858682834e-01
1.818466509177444124e+00 8.606845757846600664e-01 -8.238417669004285404e-01
1.873507701025005190e+00 8.616670299464406213e-01 -8.299445226861370539e-01
1.964003226881259501e+00 8.559956800079338013e-01 -8.291246323733513224e-01
2.020359637341827330e+00 8.557377274541569934e-01 -8.374436022326547935e-01
2.078356535534747973e+00 8.488975087931454055e-01 -8.355439810782004928e-01
2.170153137868385596e+00 8.422132849591316139e-01 -8.329651060786706918e-01
2.229210696233086431e+00 8.391828657112715417e-01 -8.419635065597450563e-01
