s ur utheta
4.813275859536826629e-02 -1.400071426749360803e-02 -3.844398147955021550e-01
8.297473813155423206e-02 -3.213234635067907519e-02 -5.745440587039432057e-01
1.203170472460157459e-01 -5.680400905305887926e-02 -7.214928686497878996e-01
1.603392910611743105e-01 -8.760133780085771482e-02 -8.288939034306501696e-01
2.032338026215126658e-01 -1.236149932734696977e-01 -9.016064008468440694e-01
2.492070571071371976e-01 -1.635290497511068253e-01 -9.455014685025613375e-01
2.984796718337782151e-01 -2.059215154968027650e-01 -9.670229704947551630e-01
3.512892346799143528e-01 -2.494213104618368537e-01 -9.725737587270694151e-01
4.078903040867727925e-01 -2.933241562921470313e-01 -9.677965453133732243e-01
4.685515806312042786e-01 -3.387578883037263289e-01 -9.599808940609182439e-01
4.999343937938257598e-01 -3.797856379617322031e-01 -9.661030245724313570e-01
5.323821097689139803e-01 -3.640624115752681411e-01 -9.364893925763387861e-01
5.987129684848992994e-01 -3.907684204871216815e-01 -9.431927648619873317e-01
6.328223853957759548e-01 -4.172665400053063300e-01 -9.484748525174507838e-01
6.682074229399131982e-01 -4.355912122397557207e-01 -9.122801777088549446e-01
7.403153440581925482e-01 -4.549631096171424804e-01 -9.181816909046379704e-01
7.781596989872966441e-01 -4.738944794698498608e-01 -9.224589798240353522e-01
8.167465160366464971e-01 -4.852357651333009114e-01 -8.827075579060712496e-01
8.947347371472730293e-01 -5.011124336912824440e-01 -8.876014439386633592e-01
9.371144749709077182e-01 -5.168985925812721316e-01 -8.912890058025512152e-01
9.791873284515072440e-01 -5.282999823211239621e-01 -8.602696455254597030e-01
1.063135045513974308e+00 -5.412174089998398330e-01 -8.643680364292168905e-01
1.110949606057808348e+00 -5.541044300869646388e-01 -8.675054692173416182e-01
1.156840836156815433e+00 -5.637323960196007899e-01 -8.410313913297173816e-01
1.246770676588120796e+00 -5.744005160273621957e-01 -8.444799511015641524e-01
1.301090619518870950e+00 -5.850672218215613452e-01 -8.470927106580484756e-01
1.351125495355631312e+00 -5.933721909665972127e-01 -8.248153115167661253e-01
1.447023317020150968e+00 -6.021742561788074877e-01 -8.274825182954018699e-01
1.509036581730211157e+00 -6.110003630215777859e-01 -8.294185766622905742e-01
1.563611083102188992e+00 -6.179936490875128641e-01 -8.101782011462047572e-01
1.665406175321804350e+00 -6.252591712642046051e-01 -8.120484985824431012e-01
1.736470406831051916e+00 -6.325614629935180089e-01 -8.132739146342393699e-01
1.795980513535712308e+00 -6.383385253958121508e-01 -7.964659864454350924e-01
1.903545597089809860e+00 -6.443305482595870215e-01 -7.975591735291496231e-01
1.985230572452479914e+00 -6.503536838217338634e-01 -7.980697046251661320e-01
2.050128832829781089e+00 -6.550221442124838367e-01 -7.832047644497064365e-01
2.163251775684005285e+00 -6.599445266483576766e-01 -7.835715407371078856e-01
2.257311119717439141e+00 -6.649153458987429044e-01 -7.834373318700386113e-01
