s ur utheta
1.569100000000001049e-02 4.601739999999999997e-03 -9.595439999999999525e-02
4.819899999999999185e-02 2.236940000000000109e-02 -2.723929999999999962e-01
8.304000000000000270e-02 5.414250000000000312e-02 -4.408179999999999876e-01
1.203830000000000178e-01 9.284530000000000560e-02 -5.995209999999999706e-01
1.604050000000000198e-01 1.348840000000000039e-01 -7.460290000000000532e-01
2.033000000000000362e-01 1.767749999999999877e-01 -8.776220000000000132e-01
2.492729999999999668e-01 2.152759999999999951e-01 -9.918109999999999982e-01
2.985459999999999781e-01 2.478130000000000055e-01 -1.086789999999999923e+00
3.513560000000000016e-01 2.726520000000000055e-01 -1.161780000000000035e+00
4.079559999999999853e-01 2.889729999999999799e-01 -1.217119999999999980e+00
4.686179999999999790e-01 2.971860000000000057e-01 -1.254099999999999993e+00
5.208999999999999186e-01 2.973899999999999877e-01 -1.269730000000000025e+00
5.636300000000000754e-01 2.950690000000000257e-01 -1.277179999999999982e+00
6.082600000000000229e-01 2.904120000000000035e-01 -1.280459999999999932e+00
6.548599999999999977e-01 2.836650000000000005e-01 -1.280329999999999968e+00
7.035199999999999232e-01 2.752049999999999774e-01 -1.277619999999999978e+00
7.543299999999999450e-01 2.654489999999999905e-01 -1.273109999999999964e+00
8.073999999999998956e-01 2.547909999999999897e-01 -1.267439999999999900e+00
8.628199999999999203e-01 2.435740000000000127e-01 -1.261090000000000044e+00
9.206900000000000084e-01 2.320720000000000005e-01 -1.254410000000000025e+00
9.811199999999999921e-01 2.204849999999999866e-01 -1.247619999999999951e+00
1.044219999999999926e+00 2.089519999999999988e-01 -1.240839999999999943e+00
1.110119999999999996e+00 1.975659999999999916e-01 -1.234150000000000080e+00
1.178940000000000099e+00 1.863829999999999931e-01 -1.227589999999999959e+00
1.250809999999999977e+00 1.754370000000000096e-01 -1.221160000000000023e+00
1.325860000000000039e+00 1.647460000000000035e-01 -1.214869999999999894e+00
1.404230000000000089e+00 1.543170000000000097e-01 -1.208730000000000082e+00
