s ur utheta
2.089641959762478934e-02 -5.576244076437059105e-03 -4.188235891374791908e-01
3.535109641864024599e-02 -1.291954799905936646e-02 -6.267264178351666937e-01
5.022862309480516374e-02 -2.364989340356521419e-02 -7.858770623971664815e-01
6.554314176174345918e-02 -3.778142242557835928e-02 -9.011149616339194646e-01
8.130596612795396028e-02 -5.496906695587977509e-02 -9.788762014677852008e-01
9.752982411549808439e-02 -7.460330094908662613e-02 -1.026458123880609197e+00
1.142288578599995746e-01 -9.597701762401233960e-02 -1.051201911474670014e+00
1.314186237106445831e-01 -1.183887670537200343e-01 -1.059784066477931219e+00
1.491118495894943607e-01 -1.412311445131702037e-01 -1.057753255802363235e+00
1.673226776321726506e-01 -1.640282671386245061e-01 -1.049344341960493088e+00
1.860680784014280553e-01 -1.864449663158003756e-01 -1.037535658714677567e+00
2.053621940328842210e-01 -2.082719384374668303e-01 -1.024249122296182479e+00
2.252219950892895561e-01 -2.293925108847278960e-01 -1.010623881729498796e+00
2.456630379198302128e-01 -2.497564790761191977e-01 -9.972701701667909813e-01
2.667037073008172166e-01 -2.693574790506103600e-01 -9.844771942815637722e-01
2.883595595814364421e-01 -2.882075316234812834e-01 -9.723545556249016952e-01
3.106518079651235387e-01 -3.063335068524172256e-01 -9.609262958273647737e-01
3.335960088010646030e-01 -3.237629819018843502e-01 -9.501775656465478725e-01
3.572133752926952011e-01 -3.405284836838174956e-01 -9.400829092383289343e-01
3.815222922163263863e-01 -3.566745599254311228e-01 -9.306189920789280645e-01
4.065439727753936139e-01 -3.722393943929093729e-01 -9.217843999547834510e-01
4.322982159597700269e-01 -3.871508621945712325e-01 -9.135253927505244675e-01
4.588076491864537254e-01 -4.017271613819508036e-01 -9.057854019236565302e-01
4.860934856588802755e-01 -4.169341998181486653e-01 -9.003859345425160310e-01
4.999343937938257598e-01 -4.363789291939975667e-01 -9.025984716608488334e-01
5.316410618622305906e-01 -4.269539029075620773e-01 -8.921410694738809433e-01
5.685378937045444392e-01 -4.490382618975802820e-01 -8.931168768319183160e-01
6.008441883233954783e-01 -4.653929346396439293e-01 -8.692824285584633826e-01
6.396134389222914995e-01 -4.834764834617087947e-01 -8.723484435616883914e-01
6.725306738000876861e-01 -4.857781160344709637e-01 -8.530790766675736547e-01
7.132685096778069722e-01 -5.001840024875845447e-01 -8.573662650819077191e-01
7.468079985230474671e-01 -5.091861789188703025e-01 -8.392042274071311869e-01
7.896134146289561784e-01 -5.214177120198353332e-01 -8.433874711246308609e-01
8.237878853637020660e-01 -5.268023301585708085e-01 -8.274952462174631762e-01
8.640392317759650886e-01 -5.375149978935471751e-01 -8.315554533550364447e-01
9.035862998341662733e-01 -5.479893706432633627e-01 -8.347947095196519562e-01
9.390660896869824636e-01 -5.539962427494431463e-01 -8.208201582030622001e-01
9.863291069414913403e-01 -5.630903430622833383e-01 -8.239222356521275215e-01
1.022476405595747817e+00 -5.680068565118734369e-01 -8.114439222845285515e-01
1.072129443770666990e+00 -5.759589793730973684e-01 -8.144109423383874002e-01
1.108969707070486255e+00 -5.813923878797346845e-01 -8.028950012999831465e-01
1.153305302250882791e+00 -5.883043566658332502e-01 -8.056491822127048730e-01
1.198673273331811506e+00 -5.950791467363816256e-01 -8.078687903988494012e-01
1.236913608058380021e+00 -5.992920889386909034e-01 -7.977486781465075172e-01
1.291742667871584871e+00 -6.052155224446907900e-01 -7.998141370543534467e-01
1.330704251514963854e+00 -6.095734215371434450e-01 -7.904131523984783136e-01
1.384939341631971965e+00 -6.147289370787745177e-01 -7.923046630381523903e-01
1.428016286741856433e+00 -6.197897003117266435e-01 -7.937973654532370915e-01
1.468462794625726930e+00 -6.233754387991236046e-01 -7.853962297859597985e-01
1.529005277230919502e+00 -6.277927348611959113e-01 -7.867602387668686248e-01
1.570215460438471267e+00 -6.314138286876522788e-01 -7.789233743109781338e-01
1.629965983448734113e+00 -6.352576611501823400e-01 -7.801579827509298459e-01
1.675828929276493851e+00 -6.390343184684997846e-01 -7.810906565953148473e-01
1.718608889538280282e+00 -6.421090308851331585e-01 -7.739995776615417045e-01
1.785444622496032752e+00 -6.453989158952816441e-01 -7.748391962535225996e-01
1.829044826623995146e+00 -6.484754667895462621e-01 -7.681988271820779923e-01
1.889148903024851611e+00 -6.513174703644912800e-01 -7.689347839199368595e-01
1.943695120125581877e+00 -6.541170475325649436e-01 -7.694444664878161699e-01
1.988964096257144876e+00 -6.567991035536056010e-01 -7.633965821883276215e-01
2.062757759941773017e+00 -6.592177622986542529e-01 -7.638346348392728302e-01
2.108875264210759326e+00 -6.618895652713675526e-01 -7.581505569787045928e-01
2.163322486362123875e+00 -6.639673278372060228e-01 -7.585193838757714468e-01
2.233396768377710284e+00 -6.660105835921228401e-01 -7.587105855494044038e-01
2.281282039599663136e+00 -6.683801691265570666e-01 -7.534984307546002125e-01
