s ur utheta
2.096299999999995389e-02 1.189680000000000078e-02 -1.815509999999999902e-01
3.541700000000003179e-02 3.211429999999999840e-02 -3.113600000000000256e-01
5.029499999999997861e-02 5.910519999999999663e-02 -4.452720000000000011e-01
6.560900000000002841e-02 9.113849999999999729e-02 -5.796900000000000386e-01
8.137099999999997113e-02 1.262199999999999989e-01 -7.104730000000000212e-01
9.759600000000001607e-02 1.621940000000000048e-01 -8.334319999999999506e-01
1.142950000000000355e-01 1.970099999999999907e-01 -9.448280000000000012e-01
1.314849999999999630e-01 2.288999999999999924e-01 -1.041800000000000059e+00
1.491770000000000040e-01 2.565209999999999990e-01 -1.122670000000000057e+00
1.673890000000000100e-01 2.790529999999999955e-01 -1.186979999999999924e+00
1.861340000000000217e-01 2.961960000000000148e-01 -1.235449999999999937e+00
2.054280000000000550e-01 3.081130000000000257e-01 -1.269689999999999985e+00
2.252870000000000150e-01 3.153110000000000079e-01 -1.291870000000000074e+00
2.457289999999999752e-01 3.185029999999999806e-01 -1.304400000000000004e+00
2.667690000000000339e-01 3.184859999999999913e-01 -1.309630000000000072e+00
2.884259999999999602e-01 3.160339999999999816e-01 -1.309660000000000046e+00
3.107180000000000497e-01 3.118299999999999961e-01 -1.306240000000000068e+00
3.336620000000000141e-01 3.064350000000000129e-01 -1.300729999999999942e+00
3.572790000000000132e-01 3.002770000000000161e-01 -1.294089999999999963e+00
3.815889999999999560e-01 2.936659999999999826e-01 -1.286980000000000013e+00
4.066100000000000270e-01 2.868089999999999806e-01 -1.279779999999999918e+00
4.323649999999999993e-01 2.798390000000000044e-01 -1.272680000000000033e+00
4.588740000000000041e-01 2.727939999999999809e-01 -1.265740000000000087e+00
4.861600000000000366e-01 2.658619999999999872e-01 -1.258890000000000065e+00
5.215199999999999836e-01 2.567940000000000222e-01 -1.249970000000000026e+00
5.649699999999999722e-01 2.458579999999999932e-01 -1.238839999999999941e+00
6.092299999999999383e-01 2.351370000000000127e-01 -1.228499999999999925e+00
6.543399999999999217e-01 2.249160000000000048e-01 -1.219359999999999999e+00
7.002900000000000791e-01 2.152060000000000084e-01 -1.211300000000000043e+00
7.471200000000000063e-01 2.059580000000000022e-01 -1.204039999999999999e+00
7.948299999999999255e-01 1.970939999999999914e-01 -1.197349999999999914e+00
8.434500000000000330e-01 1.885850000000000026e-01 -1.191119999999999957e+00
8.929800000000001070e-01 1.804020000000000068e-01 -1.185240000000000071e+00
9.434499999999998998e-01 1.725210000000000077e-01 -1.179669999999999996e+00
9.948799999999999866e-01 1.649380000000000013e-01 -1.174350000000000005e+00
1.047269999999999923e+00 1.576279999999999903e-01 -1.169249999999999901e+00
1.100659999999999972e+00 1.505879999999999996e-01 -1.164330000000000087e+00
1.155059999999999976e+00 1.438000000000000111e-01 -1.159559999999999924e+00
1.210480000000000000e+00 1.372589999999999921e-01 -1.154930000000000012e+00
1.266960000000000086e+00 1.309559999999999891e-01 -1.150409999999999933e+00
1.324500000000000011e+00 1.248820000000000069e-01 -1.145990000000000064e+00
1.383129999999999971e+00 1.190309999999999979e-01 -1.141650000000000054e+00
1.442870000000000097e+00 1.133969999999999978e-01 -1.137399999999999967e+00
