0.508646 	9.74133e-19 	-2.06029e-18 	3.16565e-05 	-0.0231538 	-1.04187e-21
0.52626 	9.74133e-19 	-2.22357e-18 	-0.000810677 	-0.0646037 	-5.43145e-21
0.544528 	9.74133e-19 	-2.38175e-18 	-0.0032339 	-0.101996 	6.57825e-22
0.563475 	9.74133e-19 	-2.53498e-18 	-0.00691353 	-0.134962 	9.72903e-22
0.583126 	9.74133e-19 	-2.68338e-18 	-0.0117718 	-0.163351 	1.70392e-21
0.603507 	9.74133e-19 	-2.82709e-18 	-0.0176861 	-0.187266 	-1.24178e-20
0.624646 	9.74133e-19 	-2.96623e-18 	-0.0244851 	-0.207034 	2.10861e-21
0.646569 	9.74133e-19 	-3.10093e-18 	-0.0319691 	-0.22318 	-8.21487e-21
0.669308 	9.74133e-19 	-3.23131e-18 	-0.0399195 	-0.236355 	-1.74897e-20
0.692891 	9.74133e-19 	-3.3575e-18 	-0.0481156 	-0.247265 	1.4806e-20
0.71735 	9.74133e-19 	-5.21434e-18 	-0.056352 	-0.25659 	4.36166e-21
0.742718 	9.74133e-19 	-7.06721e-18 	-0.0644532 	-0.264924 	-5.19376e-21
0.769029 	9.74133e-19 	-8.91624e-18 	-0.0722838 	-0.272736 	6.3306e-21
0.796317 	9.74133e-19 	-1.07615e-17 	-0.0797516 	-0.280352 	8.61598e-21
0.824619 	9.74133e-19 	-1.08685e-17 	-0.0868052 	-0.287957 	-5.40599e-21
0.853973 	9.74133e-19 	-1.09719e-17 	-0.0934222 	-0.295614 	-7.27231e-21
0.884418 	9.74133e-19 	-9.33723e-18 	-0.0995995 	-0.303281 	-1.73925e-20
0.915993 	9.74133e-19 	-9.43395e-18 	-0.105365 	-0.310838 	-1.34659e-21
0.948742 	9.74133e-19 	-1.12622e-17 	-0.110628 	-0.318088 	-2.94984e-21
0.982707 	9.74133e-19 	-1.13526e-17 	-0.115157 	-0.324763 	-5.84829e-21
1.05477 	9.74133e-19 	-1.13963e-17 	-0.127301 	-0.336859 	3.87895e-22
1.16527 	9.74133e-19 	-1.13949e-17 	-0.127767 	-0.336195 	-6.06554e-22
1.27773 	9.74133e-19 	-1.13934e-17 	-0.111684 	-0.290764 	-4.02705e-22
1.39218 	9.74133e-19 	-1.13919e-17 	-0.0830515 	-0.201991 	6.54275e-22
1.50865 	9.74133e-19 	-1.13904e-17 	-0.036857 	-0.062941 	-5.20259e-22
1.62719 	9.74133e-19 	-1.13888e-17 	0.0111654 	0.109012 	-9.58746e-22
1.74783 	9.74133e-19 	-1.13873e-17 	0.0701919 	0.29965 	6.0736e-22
1.8706 	9.74133e-19 	-1.13856e-17 	0.135823 	0.473225 	1.35442e-22
1.99554 	9.74133e-19 	-1.1384e-17 	0.201654 	0.600481 	-1.37808e-22
2.1227 	9.74133e-19 	-1.13823e-17 	0.253176 	0.67163 	5.2972e-23
2.25211 	9.74133e-19 	-1.13806e-17 	0.28256 	0.703119 	4.5089e-22
2.38381 	9.74133e-19 	-1.13789e-17 	0.284015 	0.714582 	-2.0574e-22
2.51784 	9.74133e-19 	-1.13771e-17 	0.263846 	0.712017 	-1.97755e-22
2.65424 	9.74133e-19 	-1.13753e-17 	0.250111 	0.666599 	2.10399e-22
2.79306 	9.74133e-19 	-1.13735e-17 	0.284571 	0.535033 	-2.29575e-22
2.93433 	9.74133e-19 	-1.13716e-17 	0.369019 	0.315371 	-3.20339e-22
3.07811 	9.74133e-19 	-1.13697e-17 	0.475372 	0.0540851 	8.92656e-23
3.22443 	9.74133e-19 	-1.13677e-17 	0.581998 	-0.193456 	3.88388e-22
3.37334 	9.74133e-19 	-1.13658e-17 	0.674239 	-0.386928 	1.80781e-22
3.52489 	9.74133e-19 	-1.13637e-17 	0.743503 	-0.5104 	-5.84963e-22
3.67912 	9.74133e-19 	-1.30964e-17 	0.787276 	-0.572229 	2.98656e-22
3.83608 	9.74133e-19 	-1.4829e-17 	0.806903 	-0.592787 	-1.15327e-22
3.99582 	9.74133e-19 	-1.48269e-17 	0.809687 	-0.588514 	-5.52694e-23
4.15839 	9.74133e-19 	-1.48247e-17 	0.801871 	-0.573988 	8.82074e-23
4.32384 	9.74133e-19 	-1.48225e-17 	0.778774 	-0.569416 	8.70378e-23
4.49221 	9.74133e-19 	-1.48202e-17 	0.734928 	-0.5782 	-1.89728e-24
4.66357 	9.74133e-19 	-1.48179e-17 	0.683447 	-0.561086 	-1.14087e-22
4.83796 	9.74133e-19 	-1.48155e-17 	0.65275 	-0.462324 	1.87235e-23
