0.508646 	9.74133e-19 	-2.06029e-18 	-0.387466
0.52626 	9.74133e-19 	-2.22357e-18 	-0.388393
0.544528 	9.74133e-19 	-2.38175e-18 	-0.388901
0.563475 	9.74133e-19 	-2.53498e-18 	-0.389271
0.583126 	9.74133e-19 	-2.68338e-18 	-0.389559
0.603507 	9.74133e-19 	-2.82709e-18 	-0.389824
0.624646 	9.74133e-19 	-2.96623e-18 	-0.39014
0.646569 	9.74133e-19 	-3.10093e-18 	-0.390574
0.669308 	9.74133e-19 	-3.23131e-18 	-0.391177
0.692891 	9.74133e-19 	-3.3575e-18 	-0.391991
0.71735 	9.74133e-19 	-5.21434e-18 	-0.393047
0.742718 	9.74133e-19 	-7.06721e-18 	-0.394373
0.769029 	9.74133e-19 	-8.91624e-18 	-0.395998
0.796317 	9.74133e-19 	-1.07615e-17 	-0.397956
0.824619 	9.74133e-19 	-1.08685e-17 	-0.400295
0.853973 	9.74133e-19 	-1.09719e-17 	-0.403071
0.884418 	9.74133e-19 	-9.33723e-18 	-0.406358
0.915993 	9.74133e-19 	-9.43395e-18 	-0.410261
0.948742 	9.74133e-19 	-1.12622e-17 	-0.414792
0.982707 	9.74133e-19 	-1.13526e-17 	-0.420043
1.05477 	9.74133e-19 	-1.13963e-17 	-0.435606
1.16527 	9.74133e-19 	-1.13949e-17 	-0.45921
1.27773 	9.74133e-19 	-1.13934e-17 	-0.495116
1.39218 	9.74133e-19 	-1.13919e-17 	-0.524238
1.50865 	9.74133e-19 	-1.13904e-17 	-0.54743
1.62719 	9.74133e-19 	-1.13888e-17 	-0.54547
1.74783 	9.74133e-19 	-1.13873e-17 	-0.516422
1.8706 	9.74133e-19 	-1.13856e-17 	-0.456249
1.99554 	9.74133e-19 	-1.1384e-17 	-0.384165
2.1227 	9.74133e-19 	-1.13823e-17 	-0.315101
2.25211 	9.74133e-19 	-1.13806e-17 	-0.262726
2.38381 	9.74133e-19 	-1.13789e-17 	-0.228511
2.51784 	9.74133e-19 	-1.13771e-17 	-0.213617
2.65424 	9.74133e-19 	-1.13753e-17 	-0.218597
2.79306 	9.74133e-19 	-1.13735e-17 	-0.239761
2.93433 	9.74133e-19 	-1.13716e-17 	-0.264147
3.07811 	9.74133e-19 	-1.13697e-17 	-0.273897
3.22443 	9.74133e-19 	-1.13677e-17 	-0.259189
3.37334 	9.74133e-19 	-1.13658e-17 	-0.224959
3.52489 	9.74133e-19 	-1.13637e-17 	-0.184079
3.67912 	9.74133e-19 	-1.30964e-17 	-0.147677
3.83608 	9.74133e-19 	-1.4829e-17 	-0.120851
3.99582 	9.74133e-19 	-1.48269e-17 	-0.104533
4.15839 	9.74133e-19 	-1.48247e-17 	-0.0976965
4.32384 	9.74133e-19 	-1.48225e-17 	-0.0985713
4.49221 	9.74133e-19 	-1.48202e-17 	-0.106867
4.66357 	9.74133e-19 	-1.48179e-17 	-0.124284
4.83796 	9.74133e-19 	-1.48155e-17 	-0.148497
